ticker,days vs spy,alpha vs spy,beta vs spy,days vs vgt,alpha vs vgt,beta vs vgt
SCHX,1825,0.004439321359146395,0.9809053051044803,1825,-0.018834945156317055,0.6971800515894114
SCHZ,1825,0.014779100959334716,-0.048896660097940095,1825,0.015225973992703288,-0.032240156724242616
SCIF,1825,-0.16426385159440057,1.0281193460775788,1825,-0.17923242657215974,0.6975269856337307
SCJ,1825,-0.012603247562300603,0.7761225926620734,1825,-0.028793901035717114,0.5437922262071014
SCO,1825,0.4886689879602312,-1.5761957845887486,1825,0.47748094109511635,-0.9490969774787932
SCZ,1825,-0.043969827907277055,0.8300057620638118,1825,-0.06210747295419823,0.5844450637415339
SDD,1825,-0.06512197483452294,-1.712120255702042,1825,-0.024151459560003138,-1.2181129889355762
SDIV,1825,-0.16941750518730003,0.7689058512724292,1825,-0.17790158279931392,0.5121136005077898
SDOG,1825,-0.043489457970194455,0.9191184198939064,1825,-0.04781189175616837,0.5916571166027782
SDOW,1825,-0.07527351384087111,-2.811598069318693,1825,-0.024860196591549887,-1.9409236613759564
SDP,1825,-0.2485810865275113,-0.6481380952036311,1825,-0.2691434093487624,-0.3340343856214564
SDS,1825,-0.04461219207616826,-1.975844418569964,1825,0.0018457342108200514,-1.402842212688592
SDY,1825,-0.018172417389570462,0.8379972909509376,1825,-0.01967671040342434,0.5308525862813689
SDYL,1825,0.05156255201729398,1.3342723988341385,1825,0.04771446332944534,0.8503509104490611
SEA,1825,-0.2616243116269464,1.0244021639926282,1825,-0.2793204927310959,0.7048059347668798
SEF,1825,-0.03213467117274572,-0.9961249130244694,1825,-0.024087299225033176,-0.6530760654593523
SGG,1825,-0.014481715300023543,0.1259367603702129,1825,-0.0006481241774034929,0.030241640780706475
SGOL,1825,0.010715540770755774,-0.10742012779285057,1825,0.015647204779953634,-0.08474461498524449
SH,1825,-0.02521805261324731,-0.9895634734846913,1825,-0.0020487447221871503,-0.7022402463773806
SHM,1825,0.003877138450390764,-0.00960387070733174,1825,0.0040842562638793945,-0.006752835603687666
SHV,1825,0.0009866552776113115,-0.0017238098400918127,1825,0.0010602429346377989,-0.0013403643171833735
SHY,1825,0.004991874816354034,-0.021167690038045722,1825,0.0055389262250360935,-0.015202809472903134
SHYG,1577,-0.04652183581180934,0.19606418267356346,1577,-0.05418747937040192,0.1359235501405482
SIJ,1825,-0.048228973223187074,-1.7954275247804237,1825,-0.011215832381627686,-1.2564163503416852
SIL,1825,-0.14518693894009008,0.4671964170846987,1825,-0.14304978910810007,0.2854737943712222
SILJ,1799,-0.051073740568910314,0.3960575330415377,1799,-0.04163639677630876,0.2186917843090056
SIVR,1825,-0.10130333770114522,0.11364989629667699,1825,-0.10144302330948173,0.07176802674746449
SIZE,1704,0.02496611822927098,0.7509705518613722,1704,-0.0036178401720144203,0.525813404621346
SJB,1825,-0.03364782297295116,-0.3205201679967138,1825,-0.028205012290059422,-0.22019186724842432
SJNK,1825,-0.05750218038993654,0.19258409224331896,1825,-0.06150078428466579,0.13486799315176423
SKF,1825,-0.056787569053816905,-2.0001153605267676,1825,-0.040307027938327314,-1.3124443059899422
SKOR,1306,0.02028088666874001,-0.03437944922009202,1306,0.021441804454488095,-0.022147937571813367
SKYY,1825,0.07315388193852682,1.1007882695199003,1825,0.010568773027493457,0.9108691364748953
SLQD,1577,0.007936814050584669,-0.01102134501586384,1577,0.00818664202133375,-0.007012021489491199
SLV,1825,-0.10424178509307662,0.11144751829485527,1825,-0.10369657700384298,0.06797370875260964
SLVO,1705,-0.2053691998435022,0.07645909576625173,1705,-0.20624662927173684,0.04698407071642106
SLVP,1825,-0.1234929778925275,0.3602748980755153,1825,-0.12003431643493169,0.21376155484656578
SLX,1825,-0.2364481501591942,1.3842869902645454,1825,-0.25644572771573715,0.9386173013847192
SLY,1825,-0.027207656542418055,1.0230064455286554,1825,-0.051204389889692586,0.7261293791490395
SLYG,1825,-0.014189740389001388,1.0397029053687972,1825,-0.04300026969337676,0.753561089833919
SLYV,1825,-0.05500818950438284,1.0194505814455588,1825,-0.07301074179734102,0.7027799744372816
SMB,1825,0.002213025923381427,-0.0034717850487605405,1825,0.001857952510210076,-0.0009263080743944002
SMDD,1825,-0.0254276971845031,-2.8743136031270002,1825,0.02434801659294088,-1.9780094234312309
SMDV,1250,0.044201353238707344,0.6329698574912378,1250,0.021893793866030763,0.4026208232310803
SMH,1825,0.12129993755789124,1.2792068399455072,1825,0.03687127904608777,1.099726384227099
SMIN,1825,-0.015125074074623818,0.7970913050838014,1825,-0.029061139880129688,0.5489992145678685
SMLV,1743,-0.01716186569052601,0.7860054013903304,1743,-0.033210516069305994,0.5251128375912215
SMMU,1825,0.003834556911755864,-0.011707618382556746,1825,0.004464648091229017,-0.009562471824899998
SMN,1825,0.1455453181679993,-2.0677202962571535,1825,0.1731286556949283,-1.39396149214229
SNLN,1814,-0.04092719193656533,0.07424000230976197,1814,-0.04230655416349612,0.051952105613271266
SOCL,1825,0.04120288675127695,1.1427196966317132,1825,-0.028715934296666742,0.9630054679286013
SOIL,1825,-0.21694196254205153,0.7646353754066773,1825,-0.23103342393403017,0.5291918876168749
SOXL,1825,0.40424301727212403,3.9811676557800526,1825,0.14253180490462675,3.418889854646828
TAGS,1825,-0.12836399180482647,0.10942510416144133,1825,-0.13448482058151037,0.09019183323182844
